file,session_started,n_calls,n_success,n_failed,models,lat_ms_p50,lat_ms_mean,lat_ms_max,sum_llm_s,wall_span_s,llm_share
llm-communication-20251117-152046.log,2025-11-17T15:20:46.841000,23,23,0,"{""local|qwen3-coder:30b"": 23}",12802,12821.3,24542,294.9,294.9,1.0
llm-communication-20251117-152944.log,2025-11-17T15:29:44.258000,21,21,0,"{""local|qwen3-coder:30b"": 21}",5937,7948.4,21034,166.9,167.1,0.999
llm-communication-20251117-153230.log,2025-11-17T15:32:30.825000,34,34,0,"{""local|qwen3-coder:30b"": 34}",6391.0,7032.9,11951,239.1,272.3,0.878
llm-communication-20251117-154711.log,2025-11-17T15:47:11.299000,18,18,0,"{""local|qwen3-coder:30b"": 18}",11836.5,19669.9,145269,354.1,354.8,0.998
llm-communication-20251117-154740.log,2025-11-17T15:47:40.692000,29,29,0,"{""local|qwen3-coder:30b"": 29}",8407,9984.4,20227,289.5,349.1,0.829
llm-communication-20251117-161740.log,2025-11-17T16:17:40.027000,34,34,0,"{""local|qwen3-coder:30b"": 34}",6470.0,7673.5,41633,260.9,320.3,0.815
llm-communication-20251117-163930.log,2025-11-17T16:39:30.115000,23,23,0,"{""local|qwen3-coder:30b"": 23}",7164,12735.2,93186,292.9,293.1,0.999
llm-communication-20251117-164250.log,2025-11-17T16:42:50.524000,22,22,0,"{""local|qwen3-coder:30b"": 22}",9775.5,9546.8,20005,210.0,263.5,0.797
llm-communication-20251117-191225.log,2025-11-17T19:12:25.282000,24,24,0,"{""local|qwen3-coder:30b"": 24}",13490.0,14380.4,49514,345.1,346.0,0.997
llm-communication-20251117-191306.log,2025-11-17T19:13:06.972000,20,20,0,"{""local|qwen3-coder:30b"": 20}",13793.0,13127.1,19566,262.5,313.4,0.838
llm-communication-20251117-192819.log,2025-11-17T19:28:19.444000,230,230,0,"{""local|qwen3-coder:30b"": 230}",3007.5,5161.4,32794,1187.1,1249.1,0.95
llm-communication-20251117-200920.log,2025-11-17T20:09:20.594000,73,73,0,"{""local|qwen3-coder:30b"": 73}",7002,7826.9,32859,571.4,633.5,0.902
llm-communication-20251117-202603.log,2025-11-17T20:26:03.931000,38,38,0,"{""local|qwen3-coder:30b"": 38}",7231.0,8441.8,41213,320.8,369.6,0.868
llm-communication-20251117-203815.log,2025-11-17T20:38:15.622000,793,793,0,"{""local|qwen3-coder:30b"": 793}",2730,4628.4,44011,3670.4,5534.8,0.663
llm-communication-20251118-121649.log,2025-11-18T12:16:49.505000,36,36,0,"{""local|qwen3-coder:30b"": 36}",8918.0,11837.6,85927,426.2,438.5,0.972
llm-communication-20251120-145643.log,2025-11-20T14:56:43.233000,1,0,0,"{""local|qwen3-coder:30b"": 1}",,,,0.0,,
llm-communication-20251120-170926.log,2025-11-20T17:09:26.056000,36,36,0,"{""local|qwen3-coder:30b"": 36}",8382.5,10801.2,58018,388.8,389.6,0.998
llm-communication-20251120-182244.log,2025-11-20T18:22:44.555000,36,36,0,"{""local|qwen3-coder:30b"": 36}",8394.0,10914.4,63697,392.9,394.6,0.996
llm-communication-20251121-161255.log,2025-11-21T16:12:55.728000,46,46,0,"{""local|qwen3-coder:30b"": 46}",8735.0,11622.5,83928,534.6,600.7,0.89
llm-communication-20251121-163024.log,2025-11-21T16:30:24.611000,52,52,0,"{""local|qwen3-coder:30b"": 52}",9069.0,11373.4,79129,591.4,647.8,0.913
